text,emotion
"I am feeling super happy and excited today!",joy
"This is the worst day of my life",sadness
"I am so angry right now, I can't believe this happened!",anger
"I am terrified and scared of what might happen",fear
"This is amazing! I love it so much!",joy
"I feel so lonely and depressed",sadness
"This makes me furious!",anger
"I'm worried about the future",fear
"Everything is wonderful and beautiful",joy
"My heart is broken",sadness
"I can't stand this anymore!",anger
"Something bad is going to happen",fear
"I'm so pleased and delighted",joy
"I feel empty and hopeless",sadness
"This is absolutely infuriating!",anger
"I'm panicking and very anxious",fear
"What a fantastic day this is!",joy
"Everything feels pointless",sadness
"I'm absolutely furious with you!",anger
"I have a bad feeling about this",fear
"I'm thrilled and over the moon",joy
"I'm devastated and grief-stricken",sadness
"How dare you! This is unacceptable!",anger
"I'm dreading what comes next",fear
"This is the best thing ever!",joy
"I can't go on like this",sadness
"I'm seething with rage",anger
"I'm petrified and terrified",fear
"I'm so grateful and blessed",joy
"Everything is meaningless",sadness
"This is outrageous and maddening!",anger
"I'm full of dread",fear
"I've never been happier!",joy
"I'm utterly miserable",sadness
"I'm boiling with anger",anger
"I'm frozen with fear",fear
"What a beautiful moment",joy
"I'm drowning in sorrow",sadness
"This is disgusting and enraging!",anger
"I'm quaking with fear",fear
"I'm ecstatic beyond measure",joy
"Life seems pointless now",sadness
"I'm absolutely incensed!",anger
"I'm scared out of my mind",fear
"This brings me such joy",joy
"I'm consumed by despair",sadness
"I can't handle this rage",anger
"Terror grips my heart",fear
"I'm bursting with happiness",joy
"I'm weighed down by sadness",sadness
"This makes my blood boil!",anger
"I'm shaking with fear",fear
"My spirits are soaring",joy
"I feel like giving up",sadness
"I'm livid and furious",anger
"I'm overwhelmed with dread",fear
"This is absolutely delightful",joy
"My soul feels broken",sadness
"I'm angry beyond words",anger
"Fear is consuming me",fear
"I'm radiating happiness",joy
"Sadness has taken over",sadness
"Rage fills my veins",anger
"Panic overwhelms me",fear
"Perfect day ahead!",joy
"Only darkness remains",sadness
"Fury and rage inside",anger
"Only fear exists",fear
"I love everything right now!",joy
"Nothing matters anymore",sadness
"This irritates me so much!",anger
"What if something goes wrong?",fear
"I'm so proud and happy!",joy
"I feel so lost",sadness
"I'm sick and tired of this!",anger
"I have a terrible premonition",fear
"This is wonderful news!",joy
"I'm feeling blue today",sadness
"This is maddening!",anger
"I'm concerned and nervous",fear
"I couldn't ask for better!",joy
"I'm in a dark place",sadness
"I'm frustrated and angry!",anger
"I'm anxious and worried",fear
"My heart is full of joy",joy
"Everything feels heavy",sadness
"This is infuriating me!",anger
"I'm nervous and afraid",fear
"I'm absolutely delighted!",joy
"I'm melancholic today",sadness
"I'm so angry!",anger
"I'm frightened",fear
"Best day ever!",joy
"Worst feelings ever",sadness
"Absolutely furious",anger
"Completely terrified",fear
